area,bathrooms,bedrooms,description,fetched_at,furnished,images,listing_id,location,price,property_type,seller_name,title,url
778 Sqft,1,1,"This property is a 778 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the KLCC project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Jan 2012. You can rent this penthouse for RM800 per month and it is also available for sale for RM70,000.
Private rooms attached bathroom available Good location Be
Private rooms attached bathroom available Good location
Beautiful Bedroom Home – Perfect for Modern Living
IF YOU ARE INTERESTED IN RENTING THE CONDO/APARTMENT 🏠,KINDLY GET IN TOUCH WITH THE LANDLORD ON ..…WHATSAPP: ‪+60 11-5930 2298
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
Facilities:
•-hour security
• Fully-equipped gymnasium
• Mini market
• Children’s playground
• Cafeteria
• Swimming pool
• Barbecue area
• Sky lounge
• Function room and more…
WhatsApp : ‪ +60 11-5930 2298",2025-12-08T15:24:17.254638+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/X2TeDwJVbptHxcivenWosqjmD4c/2850x1515/unit/5912489/img-1092.jpeg,https://cdn.fazwaz.com/wbr/MxbBT1Qsj9iXnOgRjeXR05movhY/250x250/unit/5912489/img-1093.jpeg,https://cdn.fazwaz.com/wbr/acLk6xVvoGAVMEIP07qmw3Hgyrs/250x250/unit/5912489/img-1094.jpeg,https://cdn.fazwaz.com/wbr/oTS--LagUBSu_ppDlR7U8Fb7TS8/250x250/unit/5912489/img-1095.jpeg,https://cdn.fazwaz.com/wbr/9UhE-kDx0L_3mhO7thQBhn_kyf4/250x250/unit/5912489/img-1096.jpeg",U5912489,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur",RM800,Penthouse,Developer,1 Bedroom Penthouse for rent at KLCC,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-klcc-in-bandar-kuala-lumpur-kuala-lumpur-u5912489
200 Sqft,1,2,"This property is a 200 Sqft penthouse with 2 bedrooms and 1 bathroom that is available for rent. It is part of the Seri Beringin project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Jul 2023. You can rent this penthouse long term for RM600 per month.
Looking for a happy tenant to make this unit a cute home!
IF YOU ARE INTERESTED IN RENTING THE CONDO/APARTMENT 🏠,KINDLY GET IN TOUCH WITH THE LANDLORD ON WHATSAPP: +60 11-5930 2298
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
Facilities:
•-hour security
• Fully-equipped gymnasium
• Mini market
• Children’s playground
• Cafeteria
• Swimming pool
• Barbecue area
• Sky lounge
• Function room and more…
WhatsApp : +60 11-5930 2298",2025-12-08T15:24:17.254638+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/jgDmZVFOfvNUrHdGzgXwQIy5Pz0/2850x1515/unit/5917723/img-5814.jpeg,https://cdn.fazwaz.com/wbr/Q2aDCZ7qUA9TmucOFs-6FOf7ddA/250x250/unit/5917723/img-5815.jpeg,https://cdn.fazwaz.com/wbr/dXdhY_LHws-YI8JE192vy8_e414/250x250/unit/5917723/img-5816.jpeg,https://cdn.fazwaz.com/wbr/4CwE--piyYtKhNHpf-ruEPqDXPY/250x250/unit/5917723/img-5817.jpeg,https://cdn.fazwaz.com/wbr/pkoej_NuOGnSY8N7-jy9r9k5rt0/250x250/unit/5917723/img-5818.jpeg",U5917723,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur",RM600,Penthouse,Private Owner,2 Bedroom Penthouse for rent at Seri Beringin,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-seri-beringin-in-bandar-kuala-lumpur-kuala-lumpur-u5917723
680 Sqft,1,0,"This property is a 680 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Novum South Bangsar project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Oct 2023. You can rent this penthouse long term for RM750 per month.
Fully furnished studio
Kitchen Cabinet,Mattress,TV,A/C,Sofa,Refrigerator,Bedframe,Water Heater,Dining Table,Hood & Hub,Wardrobe,Curtain,Microwave,Washing Machine
Facilities
Security 24 Hr,Swimming,Squasy,Elevator,Mart,Restaurant,Sauna,Playground,Badminton,Gym,Covered Parking
Kindly text the owner on WhatsApp on 60169413743 for more details",2025-12-08T15:24:17.254638+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/cx-5Pn-JNNKJgeR45zXrQpJkPCs/2850x1515/unit/5918528/img-0758.jpeg,https://cdn.fazwaz.com/wbr/m4RDOlgQ20DLxG8mcUPNVMq3ddo/250x250/unit/5918528/img-0759.jpeg,https://cdn.fazwaz.com/wbr/dmlXOo547Y4aOWNIjZoeKmEkeVw/250x250/unit/5918528/img-0760.jpeg,https://cdn.fazwaz.com/wbr/VCSX8jcag9Eqg7o0C08LeOqpYb0/250x250/unit/5918528/img-0761.jpeg,https://cdn.fazwaz.com/wbr/esg2El3h5R6h2XtnQtpZxz0axMM/250x250/unit/5918528/img-0763.jpeg",U5918528,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur",RM750,Penthouse,Private Owner,Studio Penthouse for rent at Novum South Bangsar,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-novum-south-bangsar-in-bandar-kuala-lumpur-kuala-lumpur-u5918528
506 Sqft,1,0,"This property is a 506 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Aria luxury Resident project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Apr 2019. You can rent this penthouse long term for RM500 per month.
FULLY FURNISHED Studio FOR RENT
Features:
- FREE Water & electricity * WIFI all free
- Amenities facilities include Water Heater, Fridge, Coway Water Filter, Microwave, Gas Stove, Kitchen Cabinet ( can light cook), Washing machines
Nice swimming pool, bbq area, gym, & sauna
Ready move-in!
please feel free to contact the landlord via wassap
601161903950",2025-12-08T15:24:17.254638+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/mWu8HXAAS730hmC4BxiEc8ttwRw/2850x1515/unit/5915960/img-0871.jpeg,https://cdn.fazwaz.com/wbr/lQt_xoiopc1jljeduv9j9W4xhAw/250x250/unit/5915960/img-0872.jpeg,https://cdn.fazwaz.com/wbr/J2LLlri0MLzuAOBB3j8ryEfBN7U/250x250/unit/5915960/img-0873.jpeg,https://cdn.fazwaz.com/wbr/_KsnfRv0staCT4ybW7P876qn-Qg/250x250/unit/5915960/img-0874.jpeg,https://cdn.fazwaz.com/wbr/UuyuWvCGqYLjr0tcbfRK6OhaLCU/250x250/unit/5915960/img-0875.jpeg",U5915960,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur",RM500,Penthouse,Private Owner,Studio Penthouse for rent at Aria luxury Resident,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-aria-luxury-resident-in-bandar-kuala-lumpur-kuala-lumpur-u5915960
801 Sqft,1,0,"This property is a 801 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Sentral Suites project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Nov 2011. You can rent this penthouse long term for RM600 per month.
A singe room for rent with a private bathroom
Features:
- FREE Water & electricity * WIFI all free
- Amenities facilities include Water Heater, Fridge, Coway Water Filter, Microwave, Gas Stove, Kitchen Cabinet ( can light cook), Washing machines
Nice swimming pool, bbq area, gym, & sauna
Ready move-in!
please feel free to contact the landlord via wassap
601161903950",2025-12-08T15:24:17.254638+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/ojjSrhkVMwc0JVdt-Vr2Un2czKc/2850x1515/unit/5915966/img-1411.jpeg,https://cdn.fazwaz.com/wbr/wrDyWqO1FYTjAMV89s-q0Ed13xk/250x250/unit/5915966/img-1412.jpeg,https://cdn.fazwaz.com/wbr/Kdxb2_j8ybJ0RHKhYGIdYg3gP08/250x250/unit/5915966/img-1413.jpeg,https://cdn.fazwaz.com/wbr/HCIiNncRmhw8WVjISY1IJ8zwcgk/250x250/unit/5915966/img-1414.jpeg,https://cdn.fazwaz.com/wbr/e3AlR9amg3s77KQl1Q7aHiRtm5E/250x250/unit/5915966/img-1415.jpeg",U5915966,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur",RM600,Penthouse,Private Owner,Studio Penthouse for rent at Sentral Suites,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-sentral-suites-in-bandar-kuala-lumpur-kuala-lumpur-u5915966
55 Sqft,2,2,"This property is a 55 Sqft penthouse with 2 bedrooms and 2 bathrooms that is available for rent. It is part of the KLCC project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Jan 2012. You can rent this penthouse long term for RM565 per month.
Private rooms attached bathroom available Good location Be
Private rooms attached bathroom available Good location
Beautiful Bedroom Home – Perfect for Modern Living
IF YOU ARE INTERESTED IN RENTING THE CONDO/APARTMENT 🏠,KINDLY GET IN TOUCH WITH THE LANDLORD ON ..…WHATSAPP: ‪+60 11-5930 2298
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
Facilities:
•-hour security
• Fully-equipped gymnasium
• Mini market
• Children’s playground
• Cafeteria
• Swimming pool
• Barbecue area
• Sky lounge
• Function room and more…
WhatsApp : ‪ +60 11-5930 2298
A condo common room with a private bathroom for the tenant's own use. ‪ +60 11-5930 2298 ‬ Looking for a happy, great tenant to make this cute and place home! Interested tenants should Message the landlord on WhatsApp : ‪ +60 11-5930 2298 ‬ direct owner",2025-12-08T15:24:17.254638+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/k_RwFv2VMeMGRmbj9OuVcL2ntoo/2850x1515/unit/5912541/img-2156.jpeg,https://cdn.fazwaz.com/wbr/yynM4D_wkZtvyBBt75HNFl7TgaY/250x250/unit/5912541/img-6964.jpeg,https://cdn.fazwaz.com/wbr/swUECrHKasVL4lIFCwhVATGlzwc/250x250/unit/5912541/img-6965.jpeg,https://cdn.fazwaz.com/wbr/tozRzUoZVYJv-qKwWv7IzanvPEk/250x250/unit/5912541/img-6966.jpeg,https://cdn.fazwaz.com/wbr/dgithVFSQs3b4TxZu9labJXlsVo/250x250/unit/5912541/img-6967.jpeg",U5912541,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur",RM565,Penthouse,Developer,2 Bedroom Penthouse for rent at KLCC,https://www.fazwaz.my/property-rent/2-bedroom-penthouse-for-rent-at-klcc-in-bandar-kuala-lumpur-kuala-lumpur-u5912541
258 Sqft,1,1,"This property is a 258 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Le Nouvel KLCC project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Dec 2016. You can rent this penthouse long term for RM1,640 per month.
Apartment Features: Modern kitchen equipped with refrigerato
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
+60 11 5930 2298 WhatsApp",2025-12-08T15:24:17.254638+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/svDNZDRndNlwynst9uCq85ST7SY/2850x1515/unit/5916960/img-1047.jpeg,https://cdn.fazwaz.com/wbr/QHvecoxaAwHapVAaE4RArtHiAwY/250x250/unit/5916960/img-1048.jpeg,https://cdn.fazwaz.com/wbr/ZxkBOjdbZhkPkqpiSE5MNIfxvso/250x250/unit/5916960/img-1049.jpeg,https://cdn.fazwaz.com/wbr/OcK8RH_I1BmItT8ft9m6EarcToI/250x250/unit/5916960/img-1050.jpeg,https://cdn.fazwaz.com/wbr/7mbRmFhGUXZ4K9XRPftatEdSx7s/250x250/unit/5916960/img-1051.jpeg",U5916960,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur","RM1,640",Penthouse,Private Owner,1 Bedroom Penthouse for rent at Le Nouvel KLCC,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-le-nouvel-klcc-in-bandar-kuala-lumpur-kuala-lumpur-u5916960
552 Sqft,1,1,"This property is a 552 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Le Nouvel KLCC project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Dec 2016. You can rent this penthouse long term for RM411 per month.
Apartment Features: Modern kitchen equipped with refrigerato
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
+60 11 5930 2298 WhatsApp I'm",2025-12-08T15:24:17.254638+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/Vtn9wZkJWoHk-VN7XTpNvO0tVFI/2850x1515/unit/5916961/img-2432.jpeg,https://cdn.fazwaz.com/wbr/fg-pkuZChutiMwOhddzU6VaL3mo/250x250/unit/5916961/img-2433.jpeg,https://cdn.fazwaz.com/wbr/b9fzK4GPaQd08O6cV_Lmm0UZ66Y/250x250/unit/5916961/img-2434.jpeg,https://cdn.fazwaz.com/wbr/pz-gzu0vMxdCPIKETMEpjgk1cz4/250x250/unit/5916961/img-2435.jpeg,https://cdn.fazwaz.com/wbr/S7tDT4jcn5PGMUjDJ-3LSZ4kmbg/250x250/unit/5916961/img-2436.jpeg",U5916961,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur",RM411,Penthouse,Private Owner,1 Bedroom Penthouse for rent at Le Nouvel KLCC,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-le-nouvel-klcc-in-bandar-kuala-lumpur-kuala-lumpur-u5916961
600 Sqft,1,0,"This property is a 600 Sqft studio penthouse with 1.5 bathroom that is available for rent. It is part of the Le Nouvel KLCC project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Dec 2016. You can rent this penthouse long term for RM500 per month.
A condo common room with a private bathroom for the tenant.
Text the landlord on WhatsApp for more information about the house for rent +60 11-5930 2298 My Unit Includes all Utilities Intact such as Refrigerator, Dry, Washing Machine, Electric Stove and gas, Air cond, Sewage, Trash, Tv set, Furnitures and cabinet. Plus Electricity and Water bills are also Included in the Rent with 1 car park and Free wifi",2025-12-08T15:24:17.254638+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/tGgWi2N-WwmuMzAz_TFYVi1vF_Y/2850x1515/unit/5915145/img-5716.jpeg,https://cdn.fazwaz.com/wbr/Je9EvN1lLyyF1Lx5I4Lyfa8mDDI/250x250/unit/5915145/img-5718.jpeg,https://cdn.fazwaz.com/wbr/sZKG9cc0fL4SK5WJuBt0xPjZPXE/250x250/unit/5915145/img-5719.jpeg,https://cdn.fazwaz.com/wbr/lXsUjYiKLaDhrCGX7w5mBMXOPrY/250x250/unit/5915145/img-5720.jpeg,https://cdn.fazwaz.com/wbr/cBKeEvz5s7CY4GvBh3odZiJIv2E/250x250/unit/5915145/img-5721.jpeg",U5915145,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur",RM500,Penthouse,Private Owner,Studio Penthouse for rent at Le Nouvel KLCC,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-le-nouvel-klcc-in-bandar-kuala-lumpur-kuala-lumpur-u5915145
550 Sqft,1,0,"This property is a 550 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Le Nouvel KLCC project in Bandar Kuala Lumpur, Kuala Lumpur and was completed in Dec 2016. You can rent this penthouse long term for RM2,060 per month.
Apartment Features: Modern kitchen equipped with refrigerato
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
+60 11 5930 2298 WhatsApp",2025-12-08T15:24:17.254638+00:00,Fully Furnished,"https://cdn.fazwaz.com/wbr/BN5fB5DrjOiXaBOgddo2pCqBUw0/2850x1515/unit/5916467/img-6707.jpeg,https://cdn.fazwaz.com/wbr/EwP7PuRxTvnW7UB1wEUUqjy3OBI/250x250/unit/5916467/img-6708.jpeg,https://cdn.fazwaz.com/wbr/yAIXlsgcOxuIxmgeaeV87qNy3FA/250x250/unit/5916467/img-6709.jpeg,https://cdn.fazwaz.com/wbr/XVhDgm0DDg2MsXxNK9BxfVhREtI/250x250/unit/5916467/img-6710.jpeg,https://cdn.fazwaz.com/wbr/owukkGvDuFAX1_ywjf1Dfd-7mko/250x250/unit/5916467/img-6711.jpeg",U5916467,"Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur","RM2,060",Penthouse,Private Owner,Studio Penthouse for rent at Le Nouvel KLCC,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-le-nouvel-klcc-in-bandar-kuala-lumpur-kuala-lumpur-u5916467
